34217.728212546,5,0,30,5776000,1
34217.728212546,5,0,70,5775800,1
34218.763051478,3,17255024,100,5795800,-1
34218.76326006,1,17307104,100,5794500,-1
34218.873259746,3,17206828,600,5775500,1
34218.873398948,3,17248243,100,5781400,-1
34218.873398948,1,17309383,100,5777300,-1
34218.874750308,5,0,20,5775600,1
34218.875312667,3,17282464,100,5755100,1
34218.875598074,1,17309581,600,5776600,1
34218.875693752,3,17309383,100,5777300,-1
34218.875693752,1,17309594,100,5782000,-1
34218.87584919,1,17309609,200,5782000,-1
34218.875913862,1,17309618,100,5782000,-1
34218.87594306,3,17309594,100,5782000,-1
34218.87594306,1,17309623,100,5779400,-1
34218.875985114,1,17309628,100,5782000,-1
34218.876091339,3,17309609,200,5782000,-1
34218.876176678,3,17309618,100,5782000,-1
34218.876263775,3,17309623,100,5779400,-1
34218.876263775,1,17309668,100,5779900,-1
34218.87642498,3,17309628,100,5782000,-1
34218.876515253,3,17309668,100,5779900,-1
34218.876515253,1,17309710,100,5782000,-1
34218.963131884,3,17020275,100,5794500,-1
34218.99336589,1,17313565,100,5780700,-1
34218.993476937,3,17309710,100,5782000,-1
34218.993476937,1,17313572,100,5779600,-1
34218.993533344,1,17313573,100,5780700,-1
34218.993629905,3,17313573,100,5780700,-1
34218.993694445,3,17313572,100,5779600,-1
34218.993694445,1,17313580,100,5778700,-1
34219.021642453,1,17314912,100,5757600,1
34219.022937099,3,17314912,100,5757600,1
34219.843969867,1,17345366,100,5776600,1
34219.844087745,3,17313580,100,5778700,-1
34219.844087745,1,17345369,100,5779600,-1
34219.986560427,3,16955579,10,5794500,-1
34220.034122811,1,17350896,10,5779600,-1
34220.034238605,3,17345369,100,5779600,-1
34220.034238605,1,17350910,100,5779500,-1
34220.969307297,3,17307104,100,5794500,-1
34220.969507479,1,17379871,100,5798800,-1
34221.015874097,3,17345366,100,5776600,1
34221.015994018,3,17350910,100,5779500,-1
34221.015994018,1,17381707,100,5779700,-1
34221.016136683,3,17379871,100,5798800,-1
34221.016341735,1,17381726,100,5795800,-1
34221.016439156,1,17381731,100,5776600,1
34221.122151717,3,17381726,100,5795800,-1
34221.122258391,1,17386199,100,5760100,1
34221.122462639,1,17386261,100,5798800,-1
34221.12249655,1,17386271,140,5776900,1
34221.12261118,3,17386199,100,5760100,1
34221.122762772,3,17381707,100,5779700,-1
34221.122762772,1,17386364,100,5779800,-1
34221.123258837,3,17386261,100,5798800,-1
34221.123478477,1,17386536,100,5795800,-1
34221.123725961,3,17386271,140,5776900,1
34221.124084168,3,17386364,100,5779800,-1
34221.124084168,1,17386665,100,5779700,-1
34221.124559524,1,17386739,140,5776900,1
34221.124798576,3,17386665,100,5779700,-1
34221.124798576,1,17386771,100,5779800,-1
34222.060120118,3,17386536,100,5795800,-1
34222.060318269,1,17413065,100,5788100,-1
34222.133472701,3,17413065,100,5788100,-1
34222.133679561,1,17415994,100,5795800,-1
34222.150817325,3,17247457,100,5784400,-1
34222.150970581,1,17416529,100,5778900,-1
34222.151094067,3,17386771,100,5779800,-1
34222.151094067,1,17416533,100,5779200,-1
34222.15149298,3,17386739,140,5776900,1
34222.151581231,3,17416533,100,5779200,-1
34222.151581231,1,17416566,100,5779100,-1
